compound_id,Original_Entry_ID,Entrez_ID,Activity_Flag,PXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,InChI,SMILES,rdkit_smiles
AATPYXMXFBBKFO-KARVIEMNNA-N,CHEMBL526307,3359,N,1.0,chembl20,565951,9606,HTR3A,2102,"InChI=1/C14H17IN4O2/c1-7(2)8-4-11(20-3)9(15)5-10(8)21-12-6-18-14(17)19-13(12)16/h4-7H,1-3H3,(H4,16,17,18,19)/f/h16-17H2",C=1C(=C(OC2=CN=C(N=C2N)N)C=C(C1OC)I)C(C)C,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I
BSNKYWSMUAGMDO-UHFFFAOYNA-N,11184481,15561,A,6.57025,pubchem,460741,10090,HTR3A,2102,"InChI=1/C14H18N4O/c1-10-2-3-12-13(15-10)16-14(19-12)18-9-8-17-6-4-11(18)5-7-17/h2-3,11H,4-9H2,1H3",O1C(N2C3CCN(CC3)CC2)=NC=4N=C(C=CC14)C,Cc1ccc2oc(N3CCN4CCC3CC4)nc2n1
BSNKYWSMUAGMDO-UHFFFAOYNA-N,11184481,3359,A,8.30103,pubchem,460743,9606,HTR3A,2102,"InChI=1/C14H18N4O/c1-10-2-3-12-13(15-10)16-14(19-12)18-9-8-17-6-4-11(18)5-7-17/h2-3,11H,4-9H2,1H3",O1C(N2C3CCN(CC3)CC2)=NC=4N=C(C=CC14)C,Cc1ccc2oc(N3CCN4CCC3CC4)nc2n1
GVOCXQUIZNWEMU-YAQRNVERNA-N,14712103,3359,N,,pubchem,616534,9606,HTR3A,2102,"InChI=1/C12H15N3/c1-2-4-11(5-3-1)8-13-7-6-12-9-14-10-15-12/h1-5,9-10,13H,6-8H2,(H,14,15)/f/h15H",N(CCC=1NC=NC1)CC2=CC=CC=C2,c1ccc(CNCCc2cnc[nH]2)cc1
JBVRKZZSTULWTO-OAHLLOKONA-N,69937162,3359,A,9.30103,pubchem,1141224,9606,HTR3A,2102,"InChI=1/C17H19ClN4O/c18-13-7-12-9-19-22-6-5-21(17(23)14(8-13)16(12)22)15-10-20-3-1-11(15)2-4-20/h7-9,11,15H,1-6,10H2/t15-/m1/s1",ClC=1C=C2C(=O)N([C@H]3C4CCN(C3)CC4)CCN5N=CC(=C52)C1,O=C1c2cc(Cl)cc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2
JBVRKZZSTULWTO-OAHLLOKONA-N,CHEMBL3261483,15561,A,6.75,chembl20,1350972,10090,HTR3A,2102,"InChI=1/C17H19ClN4O/c18-13-7-12-9-19-22-6-5-21(17(23)14(8-13)16(12)22)15-10-20-3-1-11(15)2-4-20/h7-9,11,15H,1-6,10H2/t15-/m1/s1",C1=C(C=C2C=3N(N=C2)CCN(C(C13)=O)[C@H]4C5CCN(C4)CC5)Cl,O=C1c2cc(Cl)cc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2
NECSKBYJMMVETP-UHFFFAOYNA-N,CHEMBL3233402,3359,N,1.29,chembl20,1337830,9606,HTR3A,2102,"InChI=1/C31H36N4O2/c1-32-29(36)31(26-14-6-2-7-15-26,27-16-8-3-9-17-27)35(30(32)37)21-13-5-12-20-33-22-24-34(25-23-33)28-18-10-4-11-19-28/h2-4,6-11,14-19H,5,12-13,20-25H2,1H3",C1(C(N(C(N1CCCCCN2CCN(CC2)C3=CC=CC=C3)=O)C)=O)(C4=CC=CC=C4)C5=CC=CC=C5,CN1C(=O)N(CCCCCN2CCN(c3ccccc3)CC2)C(c2ccccc2)(c2ccccc2)C1=O
NRJJRVIMKKANAW-UHFFFAOYNA-N,1408942,3359,N,,pubchem,616534,9606,HTR3A,2102,"InChI=1/C15H18N4/c1-18-7-9-19(10-8-18)15-11-14(16-12-17-15)13-5-3-2-4-6-13/h2-6,11-12H,7-10H2,1H3",N1(CCN(CC1)C)C=2N=CN=C(C2)C3=CC=CC=C3,CN1CCN(c2cc(-c3ccccc3)ncn2)CC1
OGPREQIZGSIMHW-JLGFQASFNA-N,71459241,3359,N,,pubchem,709378,9606,HTR3A,2102,"InChI=1/C16H28N4O/c1-16(2,3)13-12-14(19-18-13)17-15(21)8-7-11-20-9-5-4-6-10-20/h12H,4-11H2,1-3H3,(H2,17,18,19,21)/f/h17-18H",O=C(NC1=NNC(C(C)(C)C)=C1)CCCN2CCCCC2,CC(C)(C)c1cc(NC(=O)CCCN2CCCCC2)n[nH]1
VJEBGMIAGKMECI-FNGIMCLKNA-N,76316933,3359,N,,pubchem,643471,9606,HTR3A,2102,"InChI=1/C27H32N8O4/c1-33-18-7-6-8-19(33)16-17(15-18)29-27(36)24-20-9-2-3-10-22(20)34(30-24)14-5-4-13-28-21-11-12-23(35(37)38)26-25(21)31-39-32-26/h2-3,9-12,17-19,28H,4-8,13-16H2,1H3,(H,29,36)/t17?,18-,19+/f/h29H",O=C(NC1C[C@H]2N([C@@H](C1)CCC2)C)C3=NN(C4=C3C=CC=C4)CCCCNC=5C6=NON=C6C(N(=O)=O)=CC5,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(CCCCNc3ccc([N+](=O)[O-])c4nonc34)c3ccccc13)C2
WLINCFBAKQHMPZ-OAHLLOKONA-N,66898814,3359,A,8.19382,pubchem,1141224,9606,HTR3A,2102,"InChI=1/C17H19FN4O/c18-13-7-12-9-19-22-6-5-21(17(23)14(8-13)16(12)22)15-10-20-3-1-11(15)2-4-20/h7-9,11,15H,1-6,10H2/t15-/m1/s1",FC=1C=C2C(=O)N([C@H]3C4CCN(C3)CC4)CCN5N=CC(=C52)C1,O=C1c2cc(F)cc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2
WLINCFBAKQHMPZ-OAHLLOKONA-N,CHEMBL3261482,15561,A,6.75,chembl20,1350972,10090,HTR3A,2102,"InChI=1/C17H19FN4O/c18-13-7-12-9-19-22-6-5-21(17(23)14(8-13)16(12)22)15-10-20-3-1-11(15)2-4-20/h7-9,11,15H,1-6,10H2/t15-/m1/s1",C1=C(C=C2C=3N(N=C2)CCN(C(C13)=O)[C@H]4C5CCN(C4)CC5)F,O=C1c2cc(F)cc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2
